company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
DeSo,deso.org,"DeSo is a layer-1 blockchain custom-built to scale decentralized social applications. The DeSo token and platform powers applications including BitClout, Pulse, Flick and the Polygram NFT marketplace. DeSo was founded in 2021 and is based in Los Altos, California.",Internet Software & Services,United States,200.00,,"Alexis Ohanian, Andreessen Horowitz, Arrington XRP Capital, Blockchain.com Ventures, Blockchange Ventures, Coinbase Ventures, Distributed Global, Hack Ventures, Pantera Capital, Polychain Capital, Sequoia Capital, Social Capital, TQ Ventures, Winklevoss Capital",,,Blockchain,,Alive / Active,802034,930954,2021,,,,North America,California,Los Altos,,,Series A,2021-09-21,200.00,Series A,"Alexis Ohanian, Andreessen Horowitz, Arrington XRP Capital, Blockchain.com Ventures, Blockchange Ventures, Coinbase Ventures, Distributed Global, Hack Ventures, Pantera Capital, Polychain Capital, Sequoia Capital, Social Capital, TQ Ventures, Winklevoss Capital",,,,,,,,,Internet,Application & Data Integration,,,,Yes
All Win Media,,All Win Media is a blockchain plus media industry service provider.,Internet Software & Services,China,120.00,,"Fundamental Labs, IOSG, Venrock",,,Blockchain,,Alive / Active,564487,661518,,,,,Asia,Beijing,,,,Unattributed VC,2020-09-16,120.00,Venture Capital,"Fundamental Labs, IOSG, Venrock",,,,,,,,,Internet,Multimedia & Graphics,,,,Yes
Blockdaemon,blockdaemon.com,"Blockdaemon is a blockchain deployment facilitator that commodifies private blockchain setups so that enterprises can focus on developing large scale distributed systems. The company was founded in 2016 and is based in Los Angeles, California.",Internet Software & Services,United States,401.54,"Konstantin Richter (CEO), Cecily Mak (COO), Geoffrey Clauss (Chief Revenue Officer)","Plug and Play Ventures, BOLDstart Ventures, Comcast Ventures, Jeff Fagnan, Liquid 2 Ventures, MState, Meagan Jones, Sam Lessin, Lerer Hippeau, Blockchain.com, CoinShares, Fenbushi Capital, HashKey Capital, A100x, BlockFi, Blockchain Capital, Borderless Capital, CoinFund, Goldman Sachs, Greenspring Associates, Hard Yaka, Heavybit, Illuminate Financial Management, Kenetic Capital, Uphold, Voyager Digital, Warburg Serres Investments, Kraken Ventures, Matrix Capital Management, Morgan Creek Digital, Sapphire Ventures, SoftBank Group, J.P. Morgan Chase & Co., Tiger Global Management, Stepstone Group, Citi Ventures, Invicta Growth, Salesforce Ventures, Telstra Ventures",,,"Unicorns- Billion Dollar Startups, Blockchain, Fintech 250, Fintech, Blockchain 50",,Alive / Active,307214,137238,2016,"Bison Trails, Blocknative, Edgevana, Figment, Staked, Stratx Consulting","Gem, Sepior, Anyblock Analytics, Lunie",,North America,California,Los Angeles,6060 Center Drive 10th Floor,90045,Series C - II,2022-04-14,,Series C,"Citi Ventures, Invicta Growth, Salesforce Ventures, Telstra Ventures",,,,,,,,,Internet,Networking & Connectivity,,,,Yes
Arctic Blockchain,arcticblockchain.com,Arctic Blockchain is a Canadian blockchain company.,,Canada,8.19,,Caza Gold Corp.,,,Blockchain,,IPO / Went public,318395,223419,,,Hydro66,,North America,British Columbia,Vancouver,1035-1090 W. Georgia Street,V6E 3V7,Unattributed - II,2018-03-19,0.49,Undisclosed,Undisclosed Investors,,,,,,,,,Computer Hardware & Services,,Reverse Merger,2018-06-08,Caza Gold Corp.,No
Tenderly,tenderly.co,Tenderly is a blockchain development platform that simplifies building blockchain products for web3 developers of all skillsets.,Internet Software & Services,"Serbia, Republic of",61.90,"Andrej Bencic (CEO), Miljan Tekic (COO), Bogdan Habic (CTO), Milan Mitrovic (SVP)","Accel, Guillermo Rauch, Mirko Novakovic, Nicolas Dessaigne, Point Nine Capital, Version One Ventures, helloworld.vc, Abstract Ventures, Coinbase Ventures, Daedalus, Eric Ries, Jinglan Wang, Spark Capital, Tihomir Bajic, Uniswap",,,Blockchain,,Alive / Active,635471,741715,2018,,,,Europe,,Belgrade,Gospodar Jevremova 50,11000,Series B,2022-03-02,40.00,Series B,"Abstract Ventures, Accel, Coinbase Ventures, Daedalus, Eric Ries, Guillermo Rauch, Jinglan Wang, Point Nine Capital, Spark Capital, Tihomir Bajic, Uniswap",,,,,,,,,Internet,Application & Data Integration,,,,Yes
InfStones,infstones.com,"InfStones provides cloud management services and security solutions for blockchain infrastructure. It is dedicated to bringing down the barriers to connecting with the blockchain, allowing clients to quickly build their applications on a large variety of blockchain networks. The company was founded in 2018 and is based in Palo Alto, California.",Internet Software & Services,United States,148.50,Zhenwu Shi (Founder),"Danhua Capital, Plug and Play Ventures, DHVC, HashKey Capital, Liang Xinjun Family Office, Qiming Venture Partners, SNZ Holding, A&T Capital, Dragonfly Capital, INCE Capital, Susquehanna International Group, 10T Fund, GGV Capital, SoftBank Group",,,"Blockchain, Fintech, Cybersecurity",,Alive / Active,388380,460896,2018,Amazon Web Services,,,North America,California,Palo Alto,2100 Geng Rd. Suite 210,94303,Series C,2022-06-01,66.00,Series C,"10T Fund, A&T Capital, GGV Capital, INCE Capital, SNZ Holding, SoftBank Group",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Dfinity,dfinity.org,"Dfinity is developing a public, decentralized cloud computing platform. The Dfinity network is self-governing through the use of an adaptive network called the Blockchain Nervous System (BNS).",Internet Software & Services,Switzerland,163.00,,"Andreessen Horowitz, Polychain Capital, Amino Capital, Aspect Ventures, KR1, Multicoin Capital, SV Angel, Scalar Capital, Village Global",,,Blockchain,,Alive / Active,315811,44777,,,,,Europe,,Zurich,Stockerstrasse 47,8002,Unattributed VC - II,2018-08-29,102.00,Venture Capital,"Amino Capital, Andreessen Horowitz, Aspect Ventures, KR1, Multicoin Capital, Polychain Capital, SV Angel, Scalar Capital, Village Global",,,,,,,,,Internet,Networking & Connectivity,,,,Yes
Horizon Blockchain Games,horizon.io,Horizon Blockchain Games is a video game studio and blockchain infrastructure developing a new dimension of gaming that belongs to players and creators.,Gaming,Canada,12.37,"Deborah Marfurt (CFO), Peter Kieltyka (Chief Architect)","Coinbase Ventures, Digital Currency Group, Golden Ventures, Initialized Capital, Inovia Capital, Polychain Capital, CMT Digital, ConsenSys Mesh, Regah Ventures, BITKRAFT Esports Ventures, Khalid Verjee, The Xchange Company, Zyshan Kaba",,,"Blockchain, Gaming",,Alive / Active,398789,474480,2017,,,,North America,Ontario,Toronto,"91 Oxford Street, Top Floor",M5T 1P2,Convertible Note,2021-07-29,4.50,Convertible Note,"BITKRAFT Esports Ventures, CMT Digital, Khalid Verjee, The Xchange Company, Zyshan Kaba",,,,,,,,,Software (non-internet/mobile),,,,,Yes
Jixin Blockchain,,Jixin Blockchain is a solution provider of digital currency.,Internet Software & Services,China,10.00,Feng Deng (CEO),Grand Shores,,,"Blockchain, Fintech",,Alive / Active,328204,211535,2016,,,,Asia,Zhejiang ,Hangzhou,,,Seed,2018-06-01,10.00,Seed,Grand Shores,,,,,,,,,Internet,Payments,,,,No
CertiK,certik.com,"CertiK provides a formal verification platform for smart contracts and blockchain ecosystems. It operates as a blockchain and smart contract auditing firm. The company validates blockchain projects' smart contracts to ensure that they are safe to deploy and utilize. CertiK also operates Skynet, a blockchain transaction monitoring tool. On a dashboard dubbed ""Security Leaderboard,"" the software monitors and notifies suspicious on-chain actions such as flash loan attacks. The company was founded in 2018 and is based in New York, New York.",Internet Software & Services,United States,296.85,,"Bitmain Technologies, Danhua Capital, Binance Labs, AU21, Ausvic Capital, Foothill Ventures, IDG Capital, Legend Star, Spark Digital Capital, Paycheck Protection Program, Binance Ventures, Coatue Management, Coinbase Ventures, Lightspeed Venture Partners, Shunwei Capital Partners, Yale University, Hillhouse Capital Management, Tiger Global Management, Kava Labs, Sequoia Capital China, Advent International, Goldman Sachs, Insight Partners, SoftBank Group",,,"Unicorns- Billion Dollar Startups, Regtech, Blockchain, Fintech 250, Fintech, Cybersecurity, Blockchain 50",Crypto Compliance & Transaction Monitoring (Financial Services),Alive / Active,334678,35248,2018,"ChainSecurity, Hacken, PeckShield",,,North America,New York,New York,1001 Avenue of The Americas Suite 1801,10018,Series B - IV,2022-04-22,60.00,Series B,"SoftBank Group, Tiger Global Management",,,,,,,,,Internet,Monitoring & Security,,,,Yes
Eluvio,eluv.io,"Eluvio is a 4K streaming and ticketing platform for artists and publishers direct to fans based on blockchain and is based in Berkeley, California",Internet Software & Services,United States,100.00,"Michelle Munson (CEO), Serban Simu (President)","Berkeley Blockchain Xcelerator, FOX Corporation",,,Blockchain,,Alive / Active,650458,758423,2017,,,,North America,California,Berkeley,918 Parker Street,94710,Series A,2021-08-25,100.00,Series A,FOX Corporation,,,,,,,,,Internet,Video,,,,No
Fortress Blockchain Technologies,fortress.xyz,"Fortress Blockchain Technologies offers financial services including compliance, payments, custody, trustee-of-assets, escrow, crypto liquidity, and other services, as well as a minting engine for fungible and non-fungible tokens along with an NFT and crypto wallet that is secure, user-friendly, and can be embedded into third-party mobile and web applications. The firm was founded in 2021 and is based in Las Vegas, Nevada.",Internet Software & Services,United States,22.50,"Scott Purcell (CEO), Thomas Michelena (CFO), Kevin Lehtiniitty (Chief Product Officer), Ryan Miller (Chief Revenue Officer), Zachary Fleischer (EVP), Jimmy Bingham (SVP)","Ayon Capital, Scott Purcell, Soaring Investment Management",,,Blockchain,,Alive / Active,799917,928521,2021,,,,North America,Nevada,Las Vegas,,89144,Seed,2022-08-09,22.50,Seed,"Ayon Capital, Scott Purcell, Soaring Investment Management, Undisclosed Angel Investors",,,,,,,,,Internet,Accounting & Finance,,,,No
Halborn,halborn.com,"Halborn is a blockchain cybersecurity firm that aims to secure the blockchain and protect users against data and monetary. Operating across the software development lifecycle, Halborn provides a suite of products and services designed to identify and close vulnerabilities in Web3 applications, helping to create the security standards that the market lacks. The company serves a diverse global client base spanning Layer 1 blockchains, infrastructure providers, financial institutions, and application and game developers. Halborn was founded in 2019 and is based in Miami, Florida.",Internet Software & Services,United States,90.00,"Rob Behnke (CEO), David Chaskin (CFO), David Schwed (COO), Steven Walbroehl (CTO)","Brevan Howard, Castle Island Ventures, Digital Currency Group, Summit Partners",,,Blockchain,,Alive / Active,708765,827501,2019,,Abyss Consulting,,North America,Florida,Miami,114 NW 25th Street,33127,Series A,2022-07-19,90.00,Series A,"Brevan Howard, Castle Island Ventures, Digital Currency Group, Summit Partners",,,,,,,,,Internet,Monitoring & Security,,,,Yes
Clear Blockchain Technologies,clearx.io,Clear Blockchain Technologies helps remove friction in complex B2B trade processes by creating a decentralized repository of commercial data and agreements.,Internet Software & Services,Singapore,13.00,"Eran Haggiag (Founder), Gal Tal-Hochberg (Founder), James Kirbow (President)","Eight Roads Ventures, Fidelity International Strategic Ventures, HKT Group, SingTel Innov8, Telefonica Tech Ventures",,,Blockchain,,Alive / Active,429608,516773,2018,"Chronicled, Marco Polo Network, Tipalti",,,Asia,,Singapore,"6 Battery Rd, #10-01",049909,Series A,2020-02-05,13.00,Series A,"Eight Roads Ventures, Fidelity International Strategic Ventures, HKT Group, SingTel Innov8, Telefonica Tech Ventures",,,,,,,,,Internet,Data & Document Management,,,,Yes
Mega Blockchain Corp.,megablockchain.com,Mega Blockchain Corp. is a blockchain technology and cryptocurrency mining company,Specialty Computer Hardware,United States,7.68,,Canadian Nexus,,,Blockchain,,Alive / Active,313301,262430,,,,,North America,New Jersey,Summit,350 Springfield Ave Suite 200,07901,Seed VC,2018-01-16,7.68,Seed VC,Canadian Nexus,,,,,,,,,Computer Hardware & Services,,,,,Yes
tZERO,tzero.com,"tZERO focuses on developing and commercializing financial technology based on cryptographically-secured, decentralized ledgers, which are more commonly known as blockchain technologies. It makes transactions more equitable, transparent, and accessible to all market participants. tZERO was founded in 2015 and is based in New York, New York.",Internet Software & Services,United States,370.79,"Alex Vlastakis (President), RJ Cummings (Chief Product Officer), Nariman Noursalehi (SVP)","GoldSand Capital, Intercontinental Exchange, Medici Ventures, Overstock.com, Pelion Venture Partners",,,"Blockchain, Fintech",,Alive / Active,259735,15969,2015,"area2Invest, Carta, EquityZen, Forge Global, NASDAQ, Nasdaq Private Market, Oasis Pro Markets, Securitize, Texture Capital","Bitsy, Verify Investor",,North America,New York,New York,285 Fulton Street 58th Floor,10007,Corporate Minority,2022-08-26,,Corporate Minority,Overstock.com,,,8.500000,8.500000,FY 2019,,117.647057,117.647057,Internet,Asset & Financial Management & Trading,,,,Yes
R3,r3.com,"R3 is an enterprise blockchain software firm working with a global ecosystem of participants across multiple industries from both the private and public sectors to develop on Corda, its open-source blockchain platform, and Corda Enterprise, a commercial version of Corda for enterprise usage. The Corda platform is used in industries from financial services to healthcare, shipping, insurance and more. It records, manages and executes institutions’ financial agreements in perfect synchrony with their peers.",Internet Software & Services,United States,112.00,"David Rutter (CEO), Paul Harris (CFO), Richard Brown (CTO), Kim Watkins (Chief People Officer), Catherine Minter (Chief Revenue Officer), James Carlyle (Managing Director)","BBVA, Barclays Bank, Commonwealth Bank of Australia, Credit Suisse, Goldman Sachs, J.P. Morgan Chase & Co., NatWest, State Street, UBS, BNP Paribas, BNY Mellon, Banco Santander, Bank of America, Bank of Montreal, Canadian Imperial Bank of Commerce, Citigroup, Commerzbank - Equity Markets and Commodities Unit, Danske Bank Group, Deutsche Bank, HSBC Venture Capital, ING, Intesa Sanpaolo, Macquarie Bank, Mitsubishi UFJ Financial Group, Mizuho Corporate Bank, Morgan Stanley, National Australia Bank, Natixis, Nomura Holdings, Nordea Bank, Northern Trust, OP Financial Group, Royal Bank of Canada, SEB, Scotiabank, Societe Generale Group, Sumitomo Mitsui Banking Corporation, TD Bank Group, U.S. Bancorp, UniCredit, Wells Fargo & Company, Westpac Group, B3, Banco Bradesco, Bangkok Bank, Bank of America Merrill Lynch, CTBC Bank, Daiwa Securities Group, Intel Capital, Itau Unibanco, Mizuho Financial Group, Ping An Insurance, RBC Ventures, SBI Group, Temasek, CLS Group, OUE, TIS INTEC Group, SEB Venture Capital",,,"Blockchain, Fintech, Insurtech, Blockchain 50","Blockchain Cross-Border Payments & CBDCs (Financial Services), Secure Transactions (Financial Services)",Alive / Active,239042,42,2015,"Blocko, Cambridge Blockchain, ConsenSys, Digital Asset, Ethereum, Evernym, Fluency, Hyperledger, ICONLOOP, IronWeave, Protokol, Samsung SDS, SecureKey Technologies, Spring Labs, Symbiont",Ivno,,North America,New York,New York,1155 Avenue of the Americas 34th Floor,10036,Unattributed - IV,2018-11-26,,Undisclosed,Temasek,,,,,,,,,Internet,Accounting & Finance,,,,Yes
Jiahe Blockchain,,Jiahe Blockchain is a platform for the training of professional talents in blockchain and communication psychology projects.,Internet Software & Services,China,6.12,,Guo Xiong Capital,,,Blockchain,,Alive / Active,621593,725353,,,,,Asia,Guangdong,,,,Series A,2021-03-26,6.12,Series A,Guo Xiong Capital,,,,,,,,,Internet,Personal & Professional Development,,,,Yes
dYdX Trading,dydx.exchange,dYdX is a decentralized protocol for financial derivatives built on the Ethereum blockchain.,Internet Software & Services,United States,86.97,"Antonio Juliano (CEO), George Zeng (COO)","Andreessen Horowitz, Brian Armstrong, Elad Gil, Fred Ehrsam, Polychain Capital, DeFiance Capital, GSR Ventures, Hashed, Rocktree Capital, SCP Capital, Scalar Capital, Spartan Group, Three Arrows Capital, Wintermute, Alliance DAO, Paradigm",,,"Blockchain, Fintech",,Alive / Active,310696,154032,2017,"Baekdu Technologies, GMX, Onomy Protocol, Perpetual Protocol, Primex Finance, SynFutures, Uniswap",,,North America,California,San Francisco,201 Folsom St.,94105,Series C,2021-05-12,65.00,Series C,"Andreessen Horowitz, Paradigm, Polychain Capital, Three Arrows Capital, Undisclosed Investors, Wintermute",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Cambridge Blockchain,cambridge-blockchain.com,"Cambridge Blockchain provides digital identity enterprise software for financial institutions. Cambridge Blockchain's distributed architecture resolves the competing challenges of transparency and privacy, resulting in faster customer onboarding, lower costs, and enhanced compliance through a single, trusted and consistent view of customer reference data.On December 1, 2020 Cambridge Blockchain was acquired by Blockchains. The terms of the transaction were not disclosed.",IT Services,United States,13.09,"Alok Bhargava (Founder), Alex O. (CTO)","Mouro Capital, Digital Currency Group, Partech Partners, FinTech Innovation Lab, BBVA Open Talent, Flourish Ventures, HCM Capital, Future Perfect Ventures, PayPal Ventures, Paycheck Protection Program, Blockchains",,,"Regtech, Blockchain, Fintech, Digital ID In Fintech",Secure Transactions (Financial Services),Acquired,248134,255601,2015,"Blocko, ConsenSys, Digital Asset, Evernym, ICONLOOP, R3, SecureKey Technologies, Spring Labs",,Blockchains,North America,Massachusetts,Cambridge,1 Broadway 14th Floor,02142,Loan,2020-05-03,0.25,Loan,Paycheck Protection Program,,,,,,,,,Computer Hardware & Services,,Acquired,2020-12-01,Blockchains,Yes
Moralis Web3 Technology,moralis.io,"Moralis Web3 Technology provides a complete, end-to-end blockchain application development platform to help blockchain projects build and scale their dApps without the cost and complexity. It was founded in 2021 and is based in Sundbyberg, Sweeden.",Internet Software & Services,Sweden,53.40,"Filip Martinsson (Founder), Ivan Liljeqvist (CEO)","EQT Ventures, Coinbase Ventures, Dispersion Capital, Fabric Ventures",,,Blockchain,,Alive / Active,687082,800999,2021,"Curvegrid, Venly",,,Europe,,Sundbyberg,Råstensgatan 14,172 70,Series A,2022-05-11,40.00,Series A,"Coinbase Ventures, Dispersion Capital, EQT Ventures, Fabric Ventures, Undisclosed Angel Investors",,,,,,,,,Internet,Application & Data Integration,,,,Yes
